facility_key,facility_id,facility_name,city,country_name,longitude,latitude,first_year,latest_year,reporting_year_count,source_record_count,source_tables,distance_to_oder_hydro_boundary_m,distance_to_oder_hydro_boundary_km,distance_class,nearest_hydro_entity_type,nearest_hydro_source_layer,nearest_hydro_entity_id,nearest_hydro_entity_name,nearest_hydro_dfdd,nearest_hydro_rex,nearest_hydro_strahler,nearest_hydro_mc,nearest_hydro_basin_district,distance_to_major_river_line_m,distance_to_major_river_line_km,nearest_major_river_line_source_layer,nearest_major_river_line_id,nearest_major_river_line_name,distance_to_canal_line_m,distance_to_canal_line_km,nearest_canal_line_source_layer,nearest_canal_line_id,nearest_canal_line_name,distance_to_coastal_polygon_m,distance_to_coastal_polygon_km,nearest_coastal_polygon_source_layer,nearest_coastal_polygon_id,nearest_coastal_polygon_name,feature_ids,sector_codes,sector_names,annex_activities,pollutant_count,pollutants,latest_pollutants,air_release_total,water_release_total,pollutant_transfer_total,waste_transfer_total,waste_treatments,waste_classifications,lcp_feature_value_total,lcp_feature_types,lcp_units,ied_statuses,ied_activity_names,bat_conclusions,wi_cowi_capacity_total
PL.EEA/15P000654.FACILITY,PL.EEA/15P000654.FACILITY,"Polskie Górnictwo Naftowe i Gazownictwo S.A. Oddział w Zielonej Górze, Ośrodek Grupowy Stęszew",Zamysłowo,Poland,16.662948,52.2764,2009,2009,1,1,waste_transfers,8634.07175123741,8.634,1-10 km,canal_line,Canals_l,CL36022926,,BH020,PL,3.0,,,14261.310488077228,14.261,River_Net_l,RL36019731,WARTA OD PYSZĄCEJ DO KOPLI,8634.07175123741,8.634,Canals_l,CL36022926,,,,,,,,3.0,Mineral industry,3(a),0,,,,,,4.4,Disposal,HW,,,,,,,
PL.EEA/01D001486.FACILITY,PL.EEA/01D001486.FACILITY,Polcolorit  S.A.,Piechowice,Poland,15.603247,50.863151,2007,2008,2,2,waste_transfers,8735.786384084013,8.736,1-10 km,major_river_line,River_Net_l,RL36000593,BÓBR OD ZADRNEJ DO ZB. PILCHOWICE,BH140,PL,5.0,1.0,,8735.786384084013,8.736,River_Net_l,RL36000593,BÓBR OD ZADRNEJ DO ZB. PILCHOWICE,,,,,,,,,,,,3.0,Mineral industry,3(g),0,,,,,,1223.0,Recovery,HW,,,,,,,
PL.EEA/01D001509.FACILITY,PL.EEA/01D001509.FACILITY,Surmin-Kaolin S.A.,Nowogrodziec,Poland,15.374765,51.212744,2007,2010,4,4,waste_transfers,8800.078731799471,8.8,1-10 km,major_river_line,River_Net_l,RL36001184,BÓBR OD ŻELISZOWSKIEGO POTOKU DO BOBRZYCY,BH140,PL,5.0,1.0,,8800.078731799471,8.8,River_Net_l,RL36001184,BÓBR OD ŻELISZOWSKIEGO POTOKU DO BOBRZYCY,,,,,,,,,,,,3.0,Mineral industry,3(b),0,,,,,,4828.35,Disposal,HW,,,,,,,
PL.EEA/12S003890.FACILITY,PL.EEA/12S003890.FACILITY,"Spółka Restrukturyzacji Kopalń S.A. w Bytomiu Oddział w Pszowie KWK ""Anna""",Pszów,Poland,18.392863,50.043763,2016,2016,1,1,air_releases,8826.074856419356,8.826,1-10 km,major_river_line,River_Net_l,RL36004356,ODRA OD WYPŁYWU ZE ZB. POLDER BUKÓW DO KANAŁU GLIWICKIEGO,BH140,PL,5.0,1.0,,8826.074856419356,8.826,River_Net_l,RL36004356,ODRA OD WYPŁYWU ZE ZB. POLDER BUKÓW DO KANAŁU GLIWICKIEGO,23741.542596141528,23.742,Canals_l,CL36022977,,,,,,,,3.0,Mineral industry,3(a),1,Methane (CH4),Methane (CH4),1260000.0,,,,,,,,,,,,
PL.EEA/12S000537.FACILITY,PL.EEA/12S000537.FACILITY,"Kompania Węglowa S.A., Oddział Kopalnia Węgla Kamiennego ""RYDUŁTOWY-ANNA"" - Ruch II",Pszów,Poland,18.392229,50.04642,2007,2016,10,18,air_releases; waste_transfers,8902.801619714162,8.903,1-10 km,major_river_line,River_Net_l,RL36004356,ODRA OD WYPŁYWU ZE ZB. POLDER BUKÓW DO KANAŁU GLIWICKIEGO,BH140,PL,5.0,1.0,,8902.801619714162,8.903,River_Net_l,RL36004356,ODRA OD WYPŁYWU ZE ZB. POLDER BUKÓW DO KANAŁU GLIWICKIEGO,23932.226742302068,23.932,Canals_l,CL36022977,,,,,,,,3.0,Mineral industry,3(a),1,Methane (CH4),Methane (CH4),31428000.0,,,817527.43,Disposal; Recovery,HW; NONHW,,,,,,,
PL.EEA/04F003618.FACILITY,PL.EEA/04F003618.FACILITY,Ośrodek Grupowy Grotów,-,Poland,15.912583,52.752393,2014,2014,1,1,waste_transfers,8917.244864267184,8.917,1-10 km,major_river_line,River_Net_l,RL36013487,MIAŁA OD DOPŁYWU Z PĘCKOWA DO UJŚCIA,BH140,PL,6.0,1.0,,8917.244864267184,8.917,River_Net_l,RL36013487,MIAŁA OD DOPŁYWU Z PĘCKOWA DO UJŚCIA,,,,,,,,,,,,3.0,Mineral industry,3(a),0,,,,,,17.7,Disposal,HW,,,,,,,
PL.EEA/15P000530.FACILITY,PL.EEA/15P000530.FACILITY,"PAK Kopalnia Węgla Brunatnego Adamów S.A., Odkrywka Władysławów",Kamionka,Poland,18.475992,52.119544,2007,2012,6,11,water_releases; waste_transfers,9383.467837666283,9.383,1-10 km,major_river_line,River_Net_l,RL36019841,WARTA OD TELESZYNY DO TOPCA,BH140,PL,5.0,1.0,,9383.467837666283,9.383,River_Net_l,RL36019841,WARTA OD TELESZYNY DO TOPCA,47130.11891206,47.13,Canals_l,CL36022978,,,,,,,,3.0,Mineral industry,3(b),8,Arsenic and compounds (as As); Cadmium and compounds (as Cd); Chromium and compounds (as Cr); Copper and compounds (as Cu); Lead and compounds (as Pb); Nickel and compounds (as Ni); Total organic carbon(as total C or COD/3) (TOC); Zinc and compounds (as Zn),Arsenic and compounds (as As); Cadmium and compounds (as Cd); Chromium and compounds (as Cr); Nickel and compounds (as Ni); Total organic carbon(as total C or COD/3) (TOC),,752925.23,,28.4,Disposal,HW,,,,,,,
PL.MŚ/000000326.FACILITY,PL.MŚ/000000326.FACILITY,Röben Polska Sp. z o.o. i Wspólnicy Spółka Komandytowa,Środa Śląska,Poland,16.6128997802734,51.155590057373,2007,2024,18,26,air_releases; waste_transfers; ied_installations,9444.69865852641,9.445,1-10 km,major_river_line,River_Net_l,RL36008150,ODRA OD WAŁÓW ŚLĄSKICH DO KANAŁU WSCHODNIEGO,BH140,PL,6.0,1.0,,9444.69865852641,9.445,River_Net_l,RL36008150,ODRA OD WAŁÓW ŚLĄSKICH DO KANAŁU WSCHODNIEGO,,,,,,,,,,,PL.MŚ/000000483.INSTALLATION,3.0,Mineral industry,3(g),2,Nitrogen oxides (NOX); Particulate matter (PM10),Nitrogen oxides (NOX); Particulate matter (PM10),188000.0,,,392.5,Disposal; Recovery,HW,,,,functional,"Manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain with a production capacity exceeding 75 tonnes per day and/or with a kiln capacity exceeding 4 m3 and with a setting density per kiln exceeding 300 kg/m3",NOBATCAPPLICABLE,
PL.MŚ/000003243.FACILITY,PL.MŚ/000003243.FACILITY,Kopalnia Gazu Ziemnego Wielichowo -  Ośrodek Grupowy Ujazd,Ujazd-Huby,Poland,16.4018573760986,52.1985359191895,2019,2024,6,7,waste_transfers; ied_installations,9542.45802753144,9.542,1-10 km,canal_line,Canals_l,CL36022938,,BH020,PL,4.0,,,32706.14919365752,32.706,River_Net_l,RL36011214,OBRA OD KAN. DZWIŃSKIEGO DO CZARNEJ WODY,9542.45802753144,9.542,Canals_l,CL36022938,,,,,,,PL.MŚ/000003873.INSTALLATION,3.0,Mineral industry,3(a),0,,,,,,20.1,Disposal; Recovery,HW,,,,functional,Combustion of fuels in installations with a total rated thermal input of 50 MW or more,BATCNOTYETADOPTED,
PL.EEA/15P000676.FACILITY,PL.EEA/15P000676.FACILITY,"Polskie Górnictwo Naftowe i Gazownictwo S.A., Ośrodek Grupowy Ujazd",Ujazd-Huby,Poland,16.401677,52.198543,2008,2014,2,2,waste_transfers,9544.761652844478,9.545,1-10 km,canal_line,Canals_l,CL36022938,,BH020,PL,4.0,,,32693.826346993133,32.694,River_Net_l,RL36011214,OBRA OD KAN. DZWIŃSKIEGO DO CZARNEJ WODY,9544.761652844478,9.545,Canals_l,CL36022938,,,,,,,,3.0,Mineral industry,3(a),0,,,,,,20.12,Disposal,HW,,,,,,,
